1 Jun	24.2	7	10.2	16.2	27.9	30.9	24.1	4.3	24.8
2 Jun	46.8	28	37.8	42.8	27.2	31.2	22.9	4.7	43.2
3 Jun	0	0	0	0	29	32.9	26	7.2	25.6
4 Jun	0.4	0.4	0.4	0.4	29.7	32.5	26.5	7.9	23
5 Jun	0	0	0	0	29.5	32.9	27.3	9	29.5
6 Jun	0	0	0	0	30.2	32.9	28.2	12.6	31.7
7 Jun	0	0	0	0	30.3	33.4	28.3	11.5	28.1
8 Jun	3.8	3.8	3.8	3.8	29.2	31.7	24.2	7.9	36.4
9 Jun	0	0	0	0	29.3	32.3	27	5.8	21.2
10 Jun	0	0	0	0	29.9	31.9	28.1	12.2	36
11 Jun	0	0	0	0	30.2	33.1	28.3	13.7	35.3
12 Jun	0	0	0	0	29.9	32.5	28.3	9.4	30.2
13 Jun	1.4	1	1	1	28.5	32.2	25.2	8.3	42.5
14 Jun	3.2	3	3	3	29.1	32.1	27.1	6.5	27.4
15 Jun	6.8	6.2	6.2	6.4	27.1	29.5	23.6	5.4	33.8
16 Jun	0	0	0	0	29.3	32.6	26.1	10.1	31.3
17 Jun	0.4	0.4	0.4	0.4	29.6	32.7	27.7	11.9	34.6
18 Jun	9.4	9.4	9.4	9.4	28.4	31.3	23.9	8.3	47.2
19 Jun	0.6	0.4	0.6	0.6	27.9	30	24.1	11.5	43.2
20 Jun	21.2	18	20.2	20.2	27.1	30.1	23.6	6.5	34.6
21 Jun	0.6	0.4	0.6	0.6	27.7	32.2	25.7	6.8	31.3
22 Jun	0	0	0	0	28.6	32.1	25.5	9.7	33.8
23 Jun	0.6	0.4	0.4	0.4	27.4	31	25.5	7.2	37.4
24 Jun	0	0	0	0	27.1	30.3	25.1	7.9	27.7
25 Jun	15.2	7.2	12	13.2	26.8	29.4	23.2	5.8	29.2
26 Jun	31.4	15	28	30.8	27	29	23	5	34.6
27 Jun	10.6	4.8	4.8	5.4	26	27.7	23.9	5	32
28 Jun	0	0	0	0	28.1	31.5	25.2	6.8	25.6
29 Jun	6	5.2	5.2	5.4	26.3	27.9	23.8	5.4	29.2
30 Jun	0	0	0	0	28.1	30.2	26.2	9.4	26.3
