,NJC,ACJC,DHS,HCI,JPJC,NYJC,RVHS,YIJC
Paper 1,,,,,,,,
1,"Programming  Constructs, Algorithms",Algorithms,Algorithms, Networks and Security,Algorithms,Algorithms,,Data Structures
2,"Algorithms, Networks and Security",Programming  Constructs,Data Structures,Ethics,"Algorithms,Programming  Constructs",Data Structures,,"Algorithms, Programming  Constructs"
3,"Data Structures,",Algorithms,Databases, Networks and Security,Programming  Constructs,"Algorithms, Data Representation",,Data Structures
4,"OOP,NoSQL","Ethics, Networks and Security",Data Structures,"Data Representation, Programming  Constructs",Data Structures,Algorithms,,"OOP, Algorithms"
5,Databases,OOP,OOP,Algorithms,Data Structures,"Databases,NoSQL",,"Databases,Ethics,NoSQL"
6, Networks and Security,Data Structures,"Ethics, Networks and Security",Programming  Constructs,Data Structures, Networks and Security,,"Data Validation and Program Testing, Web Applications"
7,,Algorithms,,Data Structures,Algorithms,Ethics,, Networks and Security
8,,Databases,,Databases,Databases,,,
9,,,,,Data Representation,,,
10,,,,,OOP,,,
,,,,, Networks and Security,,,
Paper 2,,,,,,,,
1,"Programming  Constructs, Networks and Security",OOP,"Programming  Constructs,",Programming  Constructs,Programming  Constructs,Programming  Constructs,Programming  Constructs,Programming  Constructs
2,"NoSQL,Algorithms",Programming  Constructs,Algorithms,"Data Structures, Algorithms","Data Structures, OOP",Algorithms,"Data Structures, OOP",Algorithms
3,"OOP,Data Structures",Algorithms,Web Applications,Web Applications,"Data Structures, OOP","Data Structures, OOP", Networks and Security,"Data Structures, OOP"
4,Web Applications,Web Applications,NoSQL,Data Structures,Web Applications,Web Applications,Web Applications,Web Applications
